,Accession.Name,Country.of.origin,Latitude,Longitude,Sub.population
1,Agostano,Italy,41.87194,12.56738,TEJ
3,Ai-Chiao-Hong,China,27.902527,116.872559,IND
4,NSF-TV 4,India,22.903081,87.121582,AUS
5,NSF-TV 5,India,30.472664,75.344238,AROMATIC
6,ARC 7229,India,22.903081,87.121582,AUS
7,Arias,Indonesia,-0.789275,113.921327,TRJ
8,Asse Y Pung,Philippines,12.879721,121.774017,TRJ
9,Baber,India,30.472664,75.344238,TEJ
10,Baghlani Nangarhar,Afghanistan,33.93911,67.709953,TEJ
12,Basmati,Pakistan,30.375321,69.345116,AROMATIC
13,NSF-TV 13,Pakistan,30.375321,69.345116,AUS
16,Bico Branco,Brazil,-14.235004,-51.92528,AROMATIC
17,Binulawan,Philippines,12.879721,121.774017,IND
18,BJ 1,India,22.903081,87.121582,AUS
19,Black Gora,India,22.903081,87.121582,AUS
20,Blue Rose,Louisiana,31.2448234,-92.1450245,ADMIX
22,Caawa/Fortuna 6-103-15,Taiwan,23.69781,120.960515,TRJ
24,Carolina Gold,United States,34.662732,-92.318115,TRJ
25,Carolina Gold,United States,34.662732,-92.318115,TRJ
26,Carolina Gold Sel,United States,34.662732,-92.318115,TRJ
27,NSF-TV 27,Pakistan,30.375321,69.345116,TRJ
32,Chodongji,South Korea,35.907757,127.766922,TEJ
34,NSF-TV 34,India,20.593684,78.96288,IND
37,Cuba 65,Cuba,21.521757,-77.781167,TRJ
39,NSF-TV 39,Bangladesh,23.684994,90.356331,ADMIX
40,Dam,Thailand,15.870032,100.992541,ADMIX
43,Dee Geo Woo Gen,Taiwan,23.69781,120.960515,IND
44,Dhala Shaitta,Bangladesh,23.684994,90.356331,AUS
45,Dom-sufid,Iran,32.427908,53.688046,AROMATIC
46,Dourado Agulha,Brazil,-14.235004,-51.92528,TRJ
49,DV85,Bangladesh,23.684994,90.356331,AUS
50,DZ78,Bangladesh,23.684994,90.356331,AUS
51,Early Wataribune,Japan,36.204824,138.252924,TEJ
53,Firooz,Iran,32.427908,53.688046,AROMATIC
54,Fortuna,United States,34.662732,-92.318115,TRJ
55,Gerdeh,Iran,32.427908,53.688046,ADMIX
57,NSF-TV 57,Iran,32.427908,53.688046,IND
58,Ghati Kamma Nangarhar,Afghanistan,33.93911,67.709953,AUS
59,Gogo Lempuk,Indonesia,-0.789275,113.921327,TRJ
60,Gotak Gatik,Indonesia,-0.789275,113.921327,ADMIX
61,Guan-Yin-Tsan,China,27.902527,116.872559,IND
65,Honduras,Honduras,15.199999,-86.241905,TRJ
67,Hu Lo Tao,China,32.718285,114.23584,TEJ
69,IAC 25,Brazil,-14.235004,-51.92528,TRJ
70,Iguape Cateto,Haiti,18.971187,-72.285215,TRJ
71,IR 36,Philippines,12.879721,121.774017,IND
72,IR 8,Philippines,12.879721,121.774017,IND
73,IRAT 177,French Guiana,3.933889,-53.125782,TRJ
74,IRGA 409,Brazil,-14.235004,-51.92528,IND
75,Jambu,Indonesia,-0.789275,113.921327,TRJ
76,Jaya,India,20.593684,78.96288,IND
77,JC149,India,20.593684,78.96288,IND
78,Jhona 349,India,22.903081,87.121582,AUS
79,Jouiku 393G,Japan,36.204824,138.252924,TEJ
80,K 65,Suriname,3.919305,-56.027783,ADMIX
81,Kalamkati,India,22.903081,87.121582,AUS
83,Kamenoo,Japan,36.204824,138.252924,TEJ
84,Kaniranga,Indonesia,-0.789275,113.921327,TRJ
85,Kasalath,India,22.903081,87.121582,AUS
87,Keriting Tingii,Indonesia,-0.789275,113.921327,ADMIX
88,Khao Gaew,Thailand,15.870032,100.992541,AUS
89,NSF-TV 89,Thailand,15.870032,100.992541,TRJ
92,Kinastano,Philippines,12.879721,121.774017,TRJ
93,Kitrana 508,Madagascar,-18.766947,46.869107,AROMATIC
94,Koshihikari,Japan,36.204824,138.252924,TEJ
96,KU115,Thailand,15.870032,100.992541,ADMIX
99,LAC 23,Liberia,6.428055,-9.429499,TRJ
100,Lacrosse,United States,34.662732,-92.318115,ADMIX
101,Lemont,United States,34.662732,-92.318115,TRJ
103,Luk Takhar,Afghanistan,33.93911,67.709953,TEJ
105,Mehr,Iran,32.427908,53.688046,AUS
106,Ming Hui,China,27.902527,116.872559,IND
107,NSF-TV 107,Bangladesh,23.684994,90.356331,TRJ
108,Moroberekan,Guinea,9.945587,-9.696645,TRJ
110,Mudgo,India,20.593684,78.96288,IND
112,N12,India,30.472664,75.344238,AROMATIC
113,Norin 20,Japan,36.204824,138.252924,TEJ
114,Nova,United States,34.662732,-92.318115,ADMIX
115,NPE 835,Pakistan,30.375321,69.345116,TEJ
116,NSF-TV 116,Pakistan,30.375321,69.345116,TRJ
117,O-Luen-Cheung,Taiwan,23.69781,120.960515,IND
118,Oro,Chile,-35.675147,-71.542969,TEJ
119,Oryzica Llanos 5,Colombia,4.570868,-74.297333,IND
120,OS6,Nigeria,9.081999,8.675277,TRJ
121,Ostiglia,Argentina,-38.416097,-63.616672,TEJ
122,Padi Kasalle,Indonesia,-0.789275,113.921327,TRJ
123,Pagaiyahan,Taiwan,23.69781,120.960515,IND
125,Pao-Tou-Hung,China,27.902527,116.872559,IND
126,Pappaku,Taiwan,23.69781,120.960515,IND
128,Pato De Gallinazo,Australia,-25.274398,133.775136,ADMIX
129,Peh-Kuh,Taiwan,23.69781,120.960515,IND
130,Peh-Kuh-Tsao-Tu,Taiwan,23.69781,120.960515,IND
131,Phudugey,Bhutan,27.514162,90.433601,AUS
132,Rathuwee,Sri Lanka,7.873054,80.771797,IND
133,Rikuto Kemochi,Japan,36.204824,138.252924,TEJ
134,Romeo,Italy,41.87194,12.56738,TEJ
135,RT 1031-69,Zaire,-2.425777,25.7752703,TRJ
137,RTS14,Vietnam,14.058324,108.277199,IND
138,RTS4,Vietnam,14.058324,108.277199,IND
139,S4542A3-49B-2B12,United States,34.662732,-92.318115,TRJ
140,Saturn,United States,34.662732,-92.318115,ADMIX
141,Seratoes Hari,Indonesia,-0.789275,113.921327,IND
142,Shai-Kuh,China,27.902527,116.872559,IND
143,Shinriki,Japan,36.204824,138.252924,TEJ
