,Flag.leaf.length,Flag.leaf.width,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Seed.length,Seed.width
1,28.375,1.283333333,3.068052935,110.9166667,20.48181818,9.272727273,4.785975442,4.914658225,8.064116667,3.685183333
3,39.00833333,1,4.051784948,143.5,26.83333333,9.166666667,4.439705746,4.727387819,7.705383333,2.951458333
4,27.68333333,1.516666667,3.124565145,128.0833333,23.53333333,8.666666667,5.07970897,5.146436835,8.237575,2.926366667
5,30.41666667,0.891666667,3.697178257,153.75,28.96363636,6.363636364,4.523960131,4.730921391,9.709375,2.3821
6,36.90833333,1.75,2.857427602,148.3333333,30.91666667,11.16666667,5.538645743,5.676468373,7.118183333,3.281891667
7,36.99,1.55,2.859021228,119.6,24.625,13.33333333,5.338018733,5.43590303,7.347254545,2.528890909
8,41.95,1.858333333,2.621038824,147.4166667,31.5,12.22222222,5.54691205,5.794705943,8.572091667,2.654675
9,24.425,1.2125,2.924504764,128.875,20.2,7.875,4.620058798,4.739482524,7.679875,3.3821875
10,27.9,1,3.650658241,83,22.16666667,10.33333333,4.110873864,4.733270189,7.859,3.23325
12,38.03333333,1.433333333,3.64341708,139.5555556,31.675,11.125,4.925935293,5.180761578,8.761444444,2.563233333
13,37.875,1.225,3.493134877,135.1666667,25.49,8.6,4.907494535,5.017279837,8.36956,2.73408
16,29.98888889,0.966666667,3.431295413,161.8333333,30.575,8.875,4.738145869,4.890349128,9.964958333,2.43615
17,19,1.2,3.526360525,88,20.26666667,9.666666667,5.036952602,5.105945474,6.897466667,2.970766667
18,32.76666667,0.991666667,3.858973784,132,24.75555556,8,4.774529304,4.821746767,7.658116667,2.88365
19,25,1.425,3.731699451,121.1666667,21.725,8.5,4.58156032,4.692112116,8.075316667,3.071875
20,33.43333333,1.491666667,2.713590381,130.5,24.35454545,12.81818182,5.443597652,5.551196227,8.209158333,3.293458333
22,43.53333333,1.6,2.512305624,120.6666667,29.6,13.66666667,5.497168225,5.631211782,8.6127,3.452566667
24,35.90833333,1.533333333,2.899588413,132.8333333,23,8.833333333,4.856989537,5.063170242,9.6739,3.268941667
25,35.75,1.3,3.139438994,132.125,21.46666667,9,5.04065631,5.156589207,8.751936364,3.102945455
26,38.61666667,1.65,2.651960734,136.9166667,25.80833333,10.91666667,5.078293943,5.233778845,9.636363636,3.230136364
27,34.06666667,1.566666667,2.614959778,96.33333333,23.725,11.58333333,4.899703733,5.093750201,10.1823,3.644508333
32,30.23333333,1.133333333,2.820055259,128.1111111,25,13,5.372703078,5.528546864,6.819333333,3.423422222
34,39.36666667,0.95,3.135494216,117.5555556,23.11666667,10.83333333,4.16752618,4.982845297,7.4407,2.684366667
37,24.91666667,1.191666667,2.552045953,101.5833333,26.05555556,13.44444444,5.251225759,5.407171771,9.258,2.571183333
39,39.85,0.858333333,4.016383021,150.4166667,28.01111111,8.222222222,4.472273513,4.692366731,9.159608333,3.341125
40,33.09166667,1.6,2.970414466,114.75,27.73636364,8.818181818,4.944236458,5.192956851,8.222341667,3.756733333
43,24.34166667,1.283333333,3.739651779,98.66666667,25.9,10.09090909,5.0286538,5.182294145,7.577,3.179191667
44,37.61666667,1.716666667,3.54577861,136,28.64545455,10.36363636,5.329639838,5.377800477,8.412563636,2.638754545
45,25.81666667,0.891666667,3.358637767,141.1666667,28.85,7.9,4.548599834,4.676560182,9.447275,2.908825
46,39.78888889,1.366666667,3.125785402,127.25,21.91111111,9.444444444,4.703506087,4.903627332,9.8472,2.981063636
49,24.75833333,0.883333333,3.715602524,127.1666667,22.8,7.666666667,4.68981766,4.767855768,7.147358333,2.836383333
50,26.69166667,1.066666667,3.392829132,130.5833333,20.82222222,7.666666667,4.637373326,4.673678091,7.652991667,3.625625
51,27.95,1.08,3.234749174,123.1428571,23.975,10.88888889,4.932673753,5.137267945,7.36546,3.49469
53,31.92222222,0.866666667,3.314186005,152.5,30.8,8.875,4.766911035,4.919980926,9.8331,2.410925
54,45.33333333,1.766666667,2.735449175,133,29.11111111,14,5.240423388,5.386786015,9.477358333,2.989266667
55,27.21111111,0.877777778,3.414990704,101.3333333,25.55555556,5.555555556,4.021375542,4.259545078,8.93616,3.29885
57,23.325,1.158333333,4.037186148,137.1666667,24.35454545,8.5,4.748089195,4.888296442,7.331733333,3.080108333
58,40.05833333,1.408333333,3.58120144,129.1666667,24.15555556,10.11111111,5.133180635,5.232296265,7.914516667,3.30515
59,22.83333333,1.7,2.463853241,136.5555556,21.77777778,11.22222222,5.010635294,5.166688924,7.270466667,3.395341667
60,34.475,1.45,2.983153491,128.9166667,27.12727273,10.33333333,5.110343502,5.43649703,7.839541667,3.308983333
61,33.06666667,0.95,4.016383021,142.4166667,26.16363636,8.166666667,4.593281614,4.78673388,7.9208,3.033925
65,41.18333333,1.625,2.995732274,129.5833333,25.09166667,10,4.886582645,5.059425458,9.707925,3.234433333
